# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1024
#@/user_id	fec1feb1-d1b4-4755-bae8-a2e52b553c81
ifp 	渤	c=1 d=0.323033 t=1024
iggj 	清理	c=1 d=0.50409 t=1024
iglk 	添加	c=2 d=1.01769 t=1024
igsu 	清样	c=1 d=0.0531307 t=1024
ih 	小	c=4 d=1.32372 t=1024
ihqt 	小猪	c=1 d=0.869358 t=1024
iit 	沙	c=1 d=0.460704 t=1024
im 	没	c=12 d=2.74381 t=1024
imde 	没有	c=2 d=0.406904 t=1024
imqg 	没钱	c=1 d=0.0383884 t=1024
imya 	测试	c=2 d=1.40896 t=1024
ipfk 	深圳	c=1 d=0.895834 t=1024
iqce 	沟通	c=1 d=0.831104 t=1024
itdy 	沃	c=2 d=1.29826 t=1024
ivqd 	当然	c=1 d=0.239309 t=1024
j 	是	c=7 d=1.65736 t=1024
jbus 	最新	c=1 d=0.321422 t=1024
jf 	时	c=2 d=0.913296 t=1024
jfd 	里	c=1 d=0.57695 t=1024
jfuj 	时间	c=2 d=0.580218 t=1024
jfwh 	时候	c=1 d=0.501576 t=1024
jjfn 	日志	c=1 d=0.250324 t=1024
jjyn 	日记	c=1 d=0.19398 t=1024
jney 	电脑	c=2 d=1.14814 t=1024
jq 	晚	c=1 d=0.594521 t=1024
jqr 	易	c=2 d=1.30795 t=1024
jtkg 	星号	c=1 d=0.637628 t=1024
jtrp 	监控	c=1 d=1 t=1024
juq 	蛟	c=2 d=0.338984 t=1024
jykt 	影响	c=1 d=0.71177 t=1024
kb 	啊	c=1 d=0.315058 t=1024
kc 	吧	c=1 d=1 t=1024
kcg 	吗	c=5 d=3.32618 t=1024
kgn 	号	c=2 d=0.777279 t=1024
khi 	跳	c=1 d=0.0953692 t=1024
kkd 	器	c=3 d=0.494777 t=1024
kldn 	嗯	c=1 d=0.625002 t=1024
km 	员	c=4 d=2.43583 t=1024
kn 	叫	c=1 d=0.438235 t=1024
knx 	呢	c=2 d=1.48672 t=1024
